From Number,To Number,From Name,To Name,Circuit,Branch Device Type,R,X,B,Lim A MVA,Lim B MVA,Lim C MVA
1,2,P-1,P-2,1,Line,0,0.02348,0,0,0,0
1,2,P-1,P-2,2,Line,0,0.02345,0,0,0,0
1,79,P-1,E-55,1,Line,0,0.02073,0,1260,0,0
6,2,P-6,P-2,1,Line,0,0.01533,0,0,0,0
6,2,P-6,P-2,2,Line,0,0.01603,0,0,0,0
4,3,P-4,P-3,1,Line,0,0.05409,0,0,0,0
5,3,P-5,P-3,1,Line,0,0.08701,0,0,0,0
4,8,P-4,P-9,1,Line,0,0.10355,0,0,0,0
8,4,P-9,P-4,2,Line,0,0.10192,0,0,0,0
5,7,P-5,P-7,1,Line,0,0.03086,0,0,0,0
6,7,P-6,P-7,1,Line,0,0.03288,0,0,0,0
6,7,P-6,P-7,2,Line,0,0.06928,0,0,0,0
6,7,P-6,P-7,3,Line,0,0.07738,0,0,0,0
7,6,P-7,P-6,4,Line,0,0.0342,0,0,0,0
10,6,P-11,P-6,1,Line,0,0.06738,0,0,0,0
20,6,P-21,P-6,1,Line,0,0.08181,0,0,0,0
20,6,P-21,P-6,2,Line,0,0.08486,0,0,0,0
7,8,P-7,P-9,1,Line,0,0.03422,0,0,0,0
8,7,P-9,P-7,2,Line,0,0.10063,0,0,0,0
9,8,P-10,P-9,1,Line,0,0.0695,0,0,0,0
9,8,P-10,P-9,2,Line,0,0.07077,0,0,0,0
8,127,P-9,E-103,1,Line,0,0.0596,0,340,0,0
8,133,P-9,E-109,1,Line,0,0.04468,0,340,0,0
11,9,P-12,P-10,1,Line,0,0.05734,0,0,0,0
13,9,P-14,P-10,1,Line,0,0.06538,0,0,0,0
12,10,P-13,P-11,1,Line,0,0.04151,0,0,0,0
13,11,P-14,P-12,1,Line,0,0.03911,0,0,0,0
12,15,P-13,P-16,1,Line,0,0.04595,0,0,0,0
15,13,P-16,P-14,1,Line,0,0.10509,0,0,0,0
15,13,P-16,P-14,2,Line,0,0.10067,0,0,0,0
15,14,P-16,P-15,1,Line,0,0.0239,0,0,0,0
15,16,P-16,P-17,1,Line,0,0.05326,0,0,0,0
15,17,P-16,P-18,1,Line,0,0.07751,0,0,0,0
17,16,P-18,P-17,1,Line,0,0.05277,0,0,0,0
20,17,P-21,P-18,1,Line,0,0.05854,0,0,0,0
20,17,P-21,P-18,2,Line,0,0.04853,0,0,0,0
19,18,P-20,P-19,1,Line,0,0.02887,0,0,0,0
18,165,P-19,E-141,1,Line,0,0.00575,0,750,0,0
20,19,P-21,P-20,1,Line,0,0.03769,0,0,0,0
20,21,P-21,P-22,1,Line,0,0.06336,0,0,0,0
20,21,P-21,P-22,2,Line,0,0.03603,0,0,0,0
21,20,P-22,P-21,3,Line,0,0.02275,0,0,0,0
22,20,P-23,P-21,1,Line,0,0.1024,0,0,0,0
20,23,P-21,P-24,1,Line,0,0.0365,0,0,0,0
22,21,P-23,P-22,1,Line,0,0.04487,0,0,0,0
23,21,P-24,P-22,1,Line,0,0.02735,0,0,0,0
24,23,P-26,P-24,1,Line,0,0.05243,0,0,0,0
24,23,P-26,P-24,2,Line,0,0.04553,0,0,0,0
24,190,P-26,E-166,1,Line,0,0.08605,0,1280,0,0
27,25,E-3,E-1,1,Line,0,0.02092,0,0,0,0
27,25,E-3,E-1,2,Line,0,0.01888,0,0,0,0
26,28,E-2,E-4,1,Line,0,0.01544,0,0,0,0
31,26,E-7,E-2,1,Line,0,0.04173,0,0,0,0
